NOME,BAIRRO,RPA,REGIÃO,ENDEREÇO,LATITUDE,LONGITUDE,bairro_normalizado
QUEIRA DEUS,TEJIPIO,5,SUDESTE,"R. Queira Deus, 43 - Tejipio, Recife - PE, 50930-180, Brazil",-8.093208,-34.9613346,TEJIPIO
QUIOSQUE 05,BOA VIAGEM,6,SUL,"Av. Boa Viagem, 03 - Boa Viagem, Recife - PE, 51011-000, Brazil",-8.09686388714618,-34.8832101023054,BOA VIAGEM
R. MOEDA,SANTO ANTONIO,1,CENTRO,"R. da Moeda, 140 - Recife, PE, 50030-040, Brazil",-8.0646371139854,-34.873123556677,SANTO ANTONIO
RUA DA AURORA-01,SANTO AMARO,1,CENTRO,"R. da Aurora, 1139 - Santo Amaro, Recife - PE, 50040-090, Brazil",-8.05482788455188,-34.8769999070309,SANTO AMARO
RUA DA GUIA-01,SANTO ANTONIO,1,CENTRO,"R. da Guia, 183 - Recife, PE, 50030-210, Brazil",-8.06128622831147,-34.87168638349,SANTO ANTONIO
RUA DA IMPERATRIZ-01,BOA VISTA,1,CENTRO,"R. Imperatriz Teresa Cristina, s/n - Boa Vista, Recife - PE, 50030-230, Brazil",-8.06305734568075,-34.8838811935993,BOA VISTA
RUA DA IMPERATRIZ-02,BOA VISTA,1,CENTRO,"R. Imperatriz Teresa Cristina, 94 - Boa Vista, Recife - PE, 50060-120, Brazil",-8.06317637744038,-34.8833721966437,BOA VISTA
RUA DA IMPERATRIZ-03,BOA VISTA,1,CENTRO,"R. Imperatriz Teresa Cristina, 227 - Boa Vista, Recife - PE, 50060-120, Brazil",-8.0628957716718,-34.8844008514929,BOA VISTA
RUA MARIZ DE BARROS-01,SANTO ANTONIO,1,CENTRO,"R. da Moeda, 92-166 - Recife, PE, 50030-040, Brazil",-8.06460368403327,-34.8728505952423,SANTO ANTONIO
SITIO DA TRINDADE-01,CASA AMARELA,3,NOROESTE,"Estr. do Arraial, 3265 - Tamarineira, Recife - PE, 52051-380, Brazil",-8.02861069016891,-34.9118417501449,CASA AMARELA
TRAVESSA TIRADENTES-01,SANTO ANTONIO,1,CENTRO,"R. Bernardo Vieira de Melo, 29 - Recife, PE, 50030-250, Brazil",-8.0590974,-34.8709247,SANTO ANTONIO
