nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Da Avenida Militar,Area Verde,Avenida Militar,,,,"463,2260672","135,5628453",19,Recife,-8.051520894,-34.87194045,463.2260672,RECIFE
Da Avenida Militar,Area Verde,Avenida Militar,,,,"1012,036453","336,7500879",19,Recife,-8.052881346,-34.87170011,1012.036453,RECIFE
Da Avenida Militar,Area Verde,Avenida Militar,,,,"634,4859777","99,63544497",19,Recife,-8.051871726,-34.87167723,634.4859777,RECIFE
Do Cais Do Apolo,Area Verde,Cais Do Apolo,,,,"923,8390639","352,6006795",19,Recife,-8.054053374,-34.87184563,923.8390639,RECIFE
Fernando Galvao/Quatro De Outubro,Praça,Rua Dr Vilas Boas/Rua Olimpio Costa/Praca Fernando Galvao,66850.0,16369/98,Praça Fernando Galvão,"1867,635131","202,160456",850,Areias,-8.095441959,-34.93894494,1867.635131,AREIAS
Da Av Engenheiro José Estelita,Area Verde,Avenida Engenheiro Jose Estelita/ Rua Capitao Temudo,,,,"3313,075659","542,5936527",51,Cabanga,-8.077561278,-34.89143533,3313.075659,CABANGA
Frei Caneca - A,Praça,Avenida Sul,,,,"2158,411114","233,9744035",35,Sao Jose,-8.072191159,-34.88117152,2158.411114,SAO JOSE
Da Rua Do Futuro,Area Verde,Rua Do Futuro/Rua Padre Roma/Rua Muniz Tavares,,,,"224,3425154","66,7518608",159,Jaqueira,-8.034005727,-34.90573516,224.3425154,JAQUEIRA
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"5277,312251","463,8507151",108,Santo Amaro,-8.041356705,-34.88147277,5277.312251,SANTO AMARO
Da Av Engenheiro Abdias De Carvalho,Area Verde,Avenida Engenheiro Abdias De Carvalho,,,,"236,1215108","95,852903",647,Madalena,-8.06095448,-34.90486416,236.1215108,MADALENA
Da Av Engenheiro Abdias De Carvalho,Area Verde,Avenida Eng Abdias De  Carvalho,,,,"62,43450096","39,86580573",760,Ilha Do Retiro,-8.061248393,-34.90476612,62.43450096,ILHA DO RETIRO
Jardim Sao Paulo/ João Cabral De Melo Neto,Praça,Rua Senador Alberto Pasqualini/Rua N S  De Fatima/Rua Damasco,66010.0,14597/83,Praça do Jardim São Paulo,"6582,838854","287,6469289",868,Jardim Sao Paulo,-8.081623961,-34.93836152,6582.838854,JARDIM SAO PAULO
Da Av Engenheiro Abdias De Carvalho,Area Verde,Avenida Engenheiro Abdias De Carvalho,,,,"84,91887102","42,19634588",760,Ilha Do Retiro,-8.061310509,-34.90468385,84.91887102,ILHA DO RETIRO
Da Av Engenheiro Abdias De Carvalho,Area Verde,Avenida Eng Abdias De Carvalho,,,,"50,36220699","32,85654207",760,Ilha Do Retiro,-8.061265784,-34.90495975,50.36220699,ILHA DO RETIRO
Da Rua Desenhista Eulino Santos,Area Verde,Rua Bento Justino De Souza/R Desenhista Eulino Santos,,,,"1101,360597","138,1815275",329,Arruda,-8.022622716,-34.88358087,1101.360597,ARRUDA
Rua João Praxedes De Oliveira Filho,Area Verde,Rua Joao Praxedes De Oliveira Filho/Rua Elias Gomes/ Travenida Joao Praxedes De Oliveira Filho,,,,"421,4498364","95,94243712",310,Campina Do Barreto,-8.019861155,-34.87964878,421.4498364,CAMPINA DO BARRETO
Avenida Beberibe,Area Verde,Avenida Beberibe,,,,"138,9170241","57,12022249",345,Fundao,-8.014560519,-34.88976264,138.9170241,FUNDAO
Da Rua Hercília De Medeiros,Area Verde,Rua Hercília De Medeiros/ R Barão De Tamandare / R Alice Tibiriçá,,,,"1216,79834","139,7243657",353,Cajueiro,-8.009903415,-34.88279639,1216.79834,CAJUEIRO
Da Avenida Prefeito Artur Lima Cavalcanti,Area Verde,Avenida Prefeito Artur Lima Cavalcanti,,,,"5207,239643","603,9307669",108,Santo Amaro,-8.046079646,-34.87409266,5207.239643,SANTO AMARO
Da Rua Capitão Temudo,Area Verde,Rua Capitão Temudo,,,,"1297,900663","326,6387085",51,Cabanga,-8.07862112,-34.89231853,1297.900663,CABANGA
Rua Paissandu,Area Verde,Rua Paissandu/ Avenida Lins Petit,,,,"109,0369723","80,74473572",94,Paissandu,-8.059680128,-34.89434829,109.0369723,PAISSANDU
Da Avenida Lins Petit,Area Verde,Avenida Lins Petit,,,,"89,81787082","44,65779205",94,Paissandu,-8.060749595,-34.89497265,89.81787082,PAISSANDU
Da Rua Da Paz,Area Verde,Rua Da Paz/Praca Da Paz,,,,"55,80694647","35,62044817",779,Afogados,-8.080332697,-34.90644806,55.80694647,AFOGADOS
Da Rua General Francisco Figueiroa,Area Verde,Rua Gal Francisco Figueiroa/Rua Capitao Estevao Fernandes,,,,"50,79344063","29,50193404",850,Areias,-8.092892551,-34.93000118,50.79344063,AREIAS
Da Avenida General San Martin,Area Verde,Avenida General San Martin,,,,"548,7151653","111,3679722",817,San Martin,-8.070637246,-34.92899331,548.7151653,SAN MARTIN
Da Avenida General San Martin,Area Verde,Avenida General San Martin,,,,"42,14747428","30,50246116",817,San Martin,-8.07063049,-34.92868239,42.14747428,SAN MARTIN
Beira Rio,Praça,Avenida Beira Rio,123684.0,,Praça Beira Rio,"19966,22917","1723,610725",655,Torre,-8.046253452,-34.90402245,19966.22917,TORRE
Beira Rio,Praça,Avenida Beira Rio,123684.0,,Praça Beira Rio,"19966,22917","1723,610725",647,Madalena,-8.049835422,-34.90450432,19966.22917,MADALENA
Da Rua Padre Teófilo Tworz,Area Verde,Rua Padre Teófilo Tworz/ Rua Cosme Viana,,,,"226,9617642","81,74705516",779,Afogados,-8.065392699,-34.90904097,226.9617642,AFOGADOS
Da Av Norte Miguel Arraes De Alencar,Area Verde,Avenida Norte Miguel Arraes De Alencar/ Rua Do Monte,,,,"1499,082628","155,2048011",582,Macaxeira,-8.01260259,-34.93214478,1499.082628,MACAXEIRA
Da Avenida General San Martin,Area Verde,Avenida General San Martin,,,,"399,7507674","117,0317102",817,San Martin,-8.070825919,-34.92843602,399.7507674,SAN MARTIN
Da Avenida General San Martin,Area Verde,Avenida General San Martin,,,,"501,2248992","119,2103928",817,San Martin,-8.071371718,-34.92859386,501.2248992,SAN MARTIN
Da Avenida General San Martin,Area Verde,Avenida General San Martin,,,,"406,1308641","118,4631108",817,San Martin,-8.071159946,-34.92915854,406.1308641,SAN MARTIN
Da Avenida Luiz De Lacerda,Area Verde,Avenida Historiador Jordao Emerenciano/ Avenida Luiz De Lacerda,,,,"181,9914709","62,34884574",698,Iputinga,-8.036639892,-34.94315655,181.9914709,IPUTINGA
Da Rua Benfica,Area Verde,Rua Benfica,,,,"380,1366162","83,00209016",647,Madalena,-8.058063583,-34.90426786,380.1366162,MADALENA
Da Rua Benfica,Area Verde,Rua Benfica,,,,"110,0369544","62,66482456",647,Madalena,-8.058643274,-34.90281486,110.0369544,MADALENA
Da Rua Arão Botler,Area Verde,Rua Arao Botler / Avenida Cidade De Monteiro,,,,"229,7198589","76,7401018",361,Porto Da Madeira,-8.00920484,-34.88856854,229.7198589,PORTO DA MADEIRA
Da Av Beberibe/ Av Cidade De Monteiro,Area Verde,Avenida Beberibe/ Avenida Cidade De Monteiro,,,,"709,3229676","144,4033954",361,Porto Da Madeira,-8.009918879,-34.8888922,709.3229676,PORTO DA MADEIRA
Da Av Beberibe/ Av Cidade De Monteiro,Area Verde,Avenida Beberibe/ Avenida Cidade De Monteiro/ Rua Arao Botler,,,,"1589,814424","148,6790552",361,Porto Da Madeira,-8.009474259,-34.88883199,1589.814424,PORTO DA MADEIRA
Da Avenida Governador Agamenon Magalhaes,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"4875,904477","435,8870089",108,Santo Amaro,-8.043270963,-34.88559356,4875.904477,SANTO AMARO
Do Monteiro,Praça,Avenida Dezessete De Agosto,66729.0,,Praca do Monteiro,"787,7179912","131,276212",485,Monteiro,-8.02785261,-34.92845605,787.7179912,MONTEIRO
Prof. Barreto Campelo,Praça,Rua Conselheiro Theodoro/ Rua Marques De Marica,66117.0,10485/72,Praça Professor Barreto Campello,"2461,053184","242,5829023",655,Torre,-8.047997177,-34.91484274,2461.053184,TORRE
Deputado Fábio Correa,Praça,Rua Severino Bernadino Pessoa/ Rua Irapiranga,119709.0,14.355/81,Praça deputado Fabio Correa,"597,9855524","132,224455",523,Alto Jose Do Pinho,-8.022359393,-34.90632204,597.9855524,ALTO JOSE DO PINHO
Prof. Barreto Campelo,Praça,Rua Jose De Holanda/ Rua Barreto Campelo/Rua Zilda S De Santana,66117.0,10485/72,Praça Professor Barreto Campello,"4519,880225","383,5406497",655,Torre,-8.04702363,-34.91399529,4519.880225,TORRE
Joao Pessoa De Queiroz,Praça,Rua Domingos De Abreu Vasconcelos/Aniceto Ribeiro Varejao/Des Capristano De Moraes E Silva,66516.0,10.124/69,Praça João Pessoa de Queiroz,"2252,435147","183,5839488",701,Torroes,-8.067352423,-34.9329581,2252.435147,TORROES
Do Paraiso,Praça,Rua Cinco De Novembro,89486.0,13.805/79,Praça do Paraíso,"315,1620589","82,73900618",779,Afogados,-8.08105852,-34.90718956,315.1620589,AFOGADOS
Academia Da Cidade,Area Verde,Avenida Gov Agamenon Magalhaes,,,,"5549,353666","503,9604724",272,Torreao,-8.041581726,-34.8837587,5549.353666,TORREAO
Vila Do Moinho Recife,Praça,Rua Domingos Bastos,77232.0,,Praça Vila do Moinho Recife,"313,8420519","100,3726751",175,Encruzilhada,-8.03731776,-34.88891284,313.8420519,ENCRUZILHADA
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"9328,991515","774,9700755",124,Espinheiro,-8.043698771,-34.88829308,9328.991515,ESPINHEIRO
São Braz,Praça,Rua Capitao Manuel De Aguiar/R Capitao Braz De Barros/R Capitao Francisco Coutinho/Praça Sao Braz,74322.0,,Praça São Braz,"1658,410372","159,0876812",850,Areias,-8.094377412,-34.93161111,1658.410372,AREIAS
Alfredo Pinto/Das Lavadeiras,Praça,Rua Caruaru/ Rua Palmares/Rua Goiana/Rua Argemiro Galvao,65854.0,00318/42,Praça Alfredo Pinto,"3259,518082","264,0279385",850,Areias,-8.094351239,-34.93686828,3259.518082,AREIAS
Do Sena,Praça,Rua Capitao Joao Pontes/Rua Capitao Antonio Franca/Rua Capitao Domingos Da Costa,74330.0,,Praça do Sena,"4898,081623","333,2515955",850,Areias,-8.095864063,-34.9336817,4898.081623,AREIAS
Jornalista Anibal Fernandes,Praça,Rua Capitao Estevao Fernandes/Rua Gal Francisco Fiqueiroa/R Capitao Jacinto Da Cruz,65943.0,,Praça Jornalista Anibal Fernandes,"5085,369008","314,3882844",850,Areias,-8.093486844,-34.93011487,5085.369008,AREIAS
Professor Abdgar Soriano,Praça,Rua Frei Manuel Calado/Rua General Francisco Figueiroa,99651.0,,Praça Professor Abdgar Soriano,"1992,750137","198,062038",850,Areias,-8.09243358,-34.93017666,1992.750137,AREIAS
Capiba,Praça,Rua Engenheiro Edgar D'Amorim / Rua Do Futuro,100501.0,16897/03,Praça Capiba,"360,8648409","87,74306565",167,Gracas,-8.043766763,-34.89813483,360.8648409,GRACAS
Maria Da Conceição Otacilio,Praça,Rua Otacilio Pessoa/Rua Padre Diogo Rodrigues/Prc Maria Da Conceicao,66737.0,02793/54,Praça Maria da Conceição,"1495,029741","151,6647014",876,Barro,-8.089525934,-34.94038585,1495.029741,BARRO
De Campo Grande/Eudoro Correa,Praça,Estrada De Belem/ Rua Goncalves Dias/ Rua Catulo Da Paixao Cearense,66150.0,,Praça de Campo Grande,"3856,433498","291,3306562",280,Campo Grande,-8.032299001,-34.87744157,3856.433498,CAMPO GRANDE
Augustus Rodrigues,Praça,Rua Augusto Rodrigues/Rua Padre Miguelinho/R Dom Joao Da Costa,70858.0,,Praça Augusto Rodrigues,"2259,265663","188,0861343",272,Torreao,-8.039388541,-34.88519858,2259.265663,TORREAO
Da República,Praça,Rua Praca Da Republica,66877.0,,Praça da República,"6931,022614","321,7493661",27,Santo Antonio,-8.060768613,-34.87844425,6931.022614,SANTO ANTONIO
Da República,Praça,Rua Da Praca Da Republica,66877.0,,Praça da República,"5561,022882","309,4697411",27,Santo Antonio,-8.061000454,-34.8768515,5561.022882,SANTO ANTONIO
Da República,Praça,Rua Praca Da Republica,66877.0,,Praça da República,"8266,864094","357,4864461",27,Santo Antonio,-8.06089663,-34.87757372,8266.864094,SANTO ANTONIO
Gregorio Bezerra,Praça,Rua Arumanduba/Rua Souza Bandeira,90441.0,15065/88,Praça Gregório Bezerra,"8019,261149","801,0692726",655,Torre,-8.044551422,-34.91490004,8019.261149,TORRE
Da Saudade/ Campo Santo,Praça,Rua Do Pombal/ Avenida  Da Saudade/ Rua Treze De Maio,66249.0,,Praça do Campo Santo,"9873,341906","398,2827211",108,Santo Amaro,-8.05036453,-34.88283192,9873.341906,SANTO AMARO
Abelardo Rijo,Praça,Rua Capitao Temudo/ Avenida Engenheiro Jose Estelita,65900.0,10316/71,Praça Abelardo Rijo,"9723,843408","437,5827564",51,Cabanga,-8.078168684,-34.89174203,9723.843408,CABANGA
Governador Paulo Guerra,Praça,Avenida Saturnino De Brito/  Rua Capitao Temudo,72630.0,,Praça Governador Paulo Guerra,"2426,404129","276,7261257",51,Cabanga,-8.080074629,-34.89232223,2426.404129,CABANGA
Da Cavalaria,Praça,Rua Delmiro Gouveia/Avenida General San Martin/Rua Apulcro De Assuncao,79243.0,,Praça da Cavalaria,"1260,048771","136,081916",817,San Martin,-8.065380736,-34.92749122,1260.048771,SAN MARTIN
Dr Adolfo Cirne / Faculdade De Direito,Praça,Rua Princesa Izabel/ Rua Do Hospicio/Rua Do Riachuelo,65889.0,01259/22,Praça Dr Adolfo Cirne,"20280,10499","556,4343466",86,Boa Vista,-8.058708287,-34.88265545,20280.10499,BOA VISTA
Da Cavalaria,Praça,Avenida Consul Vilares Fragoso/Rua Comendador Franco Ferreira/Avenida Gal San Martin,79243.0,,Praça da Cavalaria,"1277,616061","139,7306722",817,San Martin,-8.065579426,-34.92710117,1277.616061,SAN MARTIN
Arari Ferreira Fonseca,Praça,Rua Romulo Da Fonseca Gomes/ Rua Monsenhor Ferreira Lima,3590.0,,Praça Arari Ferreira Fonseca,"553,04426","112,2618386",698,Iputinga,-8.029962639,-34.93615205,553.04426,IPUTINGA
Sao Benedito Pereira Dos Santos,Praça,Rua Tapirema/ Prc Sao Benedito Pereira Dos Santos/R Serra Nova/,94846.0,,Praça São Benedito Pereira dos Santos,"380,4137817","84,74122887",736,Varzea,-8.037886757,-34.98178557,380.4137817,VARZEA
Professor Moraes Rego/ Do Taxi,Praça,Rua Agricolandia /Avenida Professor Moraes Rego,72320.0,,Praça Jockey Clube,"1024,794857","133,455584",736,Varzea,-8.043240462,-34.94389603,1024.794857,VARZEA
Jockey Clube,Praça,Rua Carlos Gomes E Jockey Clube,72320.0,,Praça Jockey Clube,"439,3176572","80,03634139",663,Prado,-8.061039542,-34.91281501,439.3176572,PRADO
Filonila Ferreira,Praça,Rua Monsenhor Joao Barbalho/Praca Filonila Ferreira,75302.0,13455/78,Praça Filonila Ferreira,"213,1768505","66,80185724",736,Varzea,-8.041457663,-34.95658737,213.1768505,VARZEA
Nossa Senhora Da Paz / Largo Da Paz,Praça,Rua Motocolombo/Rua Da Paz,66826.0,,Praça da Paz,"2961,900359","244,3952283",779,Afogados,-8.080605731,-34.90612789,2961.900359,AFOGADOS
Bernardo  Vieira De Melo,Praça,Rua Joao Perdigao/Praca Bernardo Vieira De Melo/R Theodorico Selva/Rua Padre Nobrega,66036.0,,Praça Bernardo Vieira de Melo,"1150,529557","140,6048059",876,Barro,-8.090245819,-34.93875574,1150.529557,BARRO
Sitio Do Benvenuto / Da Barrigada,Praça,Rua Jupiacara/Rua Caturite/ Rua Santa Rosa,72982.0,,Praça do Sítio Benvenuto,"463,1647444","117,9225232",817,San Martin,-8.075344456,-34.92555684,463.1647444,SAN MARTIN
Sitio Do Benvenuto/ Da Barrigada,Praça,Rua Jupiacara/ Rua Imbituba/ Rua Caturite,72982.0,,Praça do Sítio Benvenuto,"467,9334631","119,1298583",817,San Martin,-8.075233289,-34.92502221,467.9334631,SAN MARTIN
Sitio Do Da Barrigada,Praça,Rua Jupiacara/ Rua Santo Angelo/ Rua Imbituba,72982.0,,Praça do Sítio Benvenuto,"469,3597196","117,5599305",817,San Martin,-8.075122195,-34.9244936,469.3597196,SAN MARTIN
Abelardo Baltar,Praça,Rua Comendador Moraes,76821.0,,Praça Abelardo Baltar,"478,1369251","99,01538554",248,Pina,-8.087228836,-34.88271544,478.1369251,PINA
Abelardo Baltar,Praça,Rua Praca Abelardo Baltar,76821.0,,Praça Abelardo Baltar,"72,43711423","38,58860417",248,Pina,-8.087433482,-34.88258653,72.43711423,PINA
Alcides Ferreira Leal/ Do Jordao,Praça,Rua Jose Martorano / Rua Dr Alvaro Ferreira / Rua Lima Campos,76422.0,,Praça do Jordão,"1906,501131","172,8217503",221,Jordao,-8.130504443,-34.938465,1906.501131,JORDAO
Da Luz / Da Fraternidade,Praça,Rua Engenho Araquara / Rua Engenho Timbi / Avenida Rio Sao Francisco,79715.0,,Praça Luz da Fraternidade,"1551,431831","196,3532057",884,Cohab,-8.115080632,-34.95025587,1551.431831,COHAB
Do Terço/ Sebastiao Pontes,Praca,Praca Sebastiao Pontes/Rua Capitao Amaro Cerqueira/Rua Capitao Domingos Costa,79669.0,,Praça Sebastião Pontes,"436,7968459","92,01279404",850,Areias,-8.09759545,-34.93388892,436.7968459,AREIAS
Presidente Kennedy,Praça,Rua Dona Carentina / Rua Miravania,76082.0,,Praça Presidente Kennedy,"2153,473691","204,9515691",221,Jordao,-8.134257824,-34.94174368,2153.473691,JORDAO
São José Do Manguinho,Praça,Rua Confederacao Do Equador/Avenida Rui Barbosa,66494.0,00033/37,Praça São José dos Manguinhos,"340,6164735","120,8453951",167,Gracas,-8.048095165,-34.89890896,340.6164735,GRACAS
Elvira Andrade De Souza,Praça,Rua Paulino Gomes De Souza/Rua Alberto Paiva,66346.0,11444/74,Praça Elvira Andrade de Souza,"773,1669198","111,0765555",167,Gracas,-8.043753544,-34.9012548,773.1669198,GRACAS
Padre Marcelino Champangnat,Praça,Rua Paulino Gomes De Souza,66664.0,10.643/72,Praça Marcelino Champagnat,"967,7103441","119,8765096",167,Gracas,-8.041620727,-34.90053842,967.7103441,GRACAS
Professor Fleming,Praça,Rua Muniz Tavares,66443.0,4346/56,Praça Professor Fleming,"3921,040069","248,7507945",159,Jaqueira,-8.035270957,-34.90591214,3921.040069,JAQUEIRA
Da Jaqueira,Parque,Rua Do Futuro/Rua Deputado Pedro Pires Ferreira/ Avenida Rui Barbosa,73075.0,,Parque da Jaqueira,"71793,04406","1086,864444",159,Jaqueira,-8.036906181,-34.90482213,71793.04406,JAQUEIRA
Casa Forte,Praça,Avenida Dezessete De Agosto,78271.0,,Praça de Casa Forte,"6080,504819","346,3919021",442,Casa Forte,-8.035374529,-34.91975305,6080.504819,CASA FORTE
Alice De Albuiquerque,Praça,Rua Couto Soares/R Adolfo Simoes Barbosa,119962.0,,Praça Alice de Albuquerque,"141,112533","54,02616912",353,Cajueiro,-8.012737276,-34.88380124,141.112533,CAJUEIRO
Casa Forte,Praça,Rua Casa Forte,78271.0,,Praça de Casa Forte,"5590,231542","336,8313741",442,Casa Forte,-8.033866468,-34.91895114,5590.231542,CASA FORTE
Farias Neves,Praça,Rua Dois Irmaos / Avenida Dom Manoel De Medeiros,81507.0,5958/60,Praça Farias Neves,"8574,791972","419,8183859",590,Dois Irmaos,-8.015644143,-34.94419349,8574.791972,DOIS IRMAOS
Do Trabalho,Praça,Avenida Norte Miguel Arraes De Alencar/ Rua Fernando De Souza Caete,67032.0,01483/25,Praça do Trabalho,"2070,318675","222,0826299",434,Casa Amarela,-8.023225392,-34.91452741,2070.318675,CASA AMARELA
Batista Da Silva/ Operário Luis Da Hora,Praca,Rua Prof Trajano De Mendonca/ R Jose Bonifacio,66125.0,09310/64,Praça Batista da Silva,"216,9910213","69,45986947",655,Torre,-8.042476011,-34.90834573,216.9910213,TORRE
Ponte D Uchoa,Praça,Avenida Rui Barbosa/ Rua Madre Loyola/ Rua Antonio Celso Uchoa Cavalcanti,66788.0,,Praça Ponte D`Uchoa,"485,2880827","107,2731751",159,Jaqueira,-8.041396064,-34.9033467,485.2880827,JAQUEIRA
Barão De Caiara,Praca,Rua Afonso De Albuquerque De Melo/Rua Leonardo Bezerra Cavalcante,13234.0,1.663/54,Praça Barão de Caiara,"2437,637829","211,6045652",450,Santana,-8.038067213,-34.91098217,2437.637829,SANTANA
Ascenso Ferreira,Praça,Avenida Rio Branco/Rua Madre Deus,109517.0,,Praça Ascenço Ferreira,"293,9870404","71,93870429",19,Recife,-8.06255675,-34.8736634,293.9870404,RECIFE
Da Convenção,Praça,Avenida Beberibe,66265.0,00237/33,Praça da Convenção,"149,8691971","55,49090201",370,Beberibe,-8.003341827,-34.89751891,149.8691971,BEBERIBE
Vinte De Julho,Praça,Marques De Baipendi,95532.0,10.149/69,Praça Vinte de Julho,"726,4894225","111,6956388",280,Campo Grande,-8.025503039,-34.87881908,726.4894225,CAMPO GRANDE
Vinte De Julho,Praça,Rua Marques De Baipendi/Rua Cirilino Afonso De Melo,95532.0,10.149/69,Praça Vinte de Julho,"633,5166977","127,1056206",280,Campo Grande,-8.025687475,-34.87890863,633.5166977,CAMPO GRANDE
Vinte De Julho,Praça,Rua Carlindo Afonso De Melo/Rua Farias Neves/Rua Tenente Guimaraes,95532.0,10.149/69,Praça Vinte de Julho,"2588,241316","197,1373416",280,Campo Grande,-8.025966409,-34.8788127,2588.241316,CAMPO GRANDE
Bom Pastor,Praça,Rua Bom Pastor/ Avenida Mucio Uchoa Cavalcanti,66087.0,,Praça do Bom Pastor,"5969,548876","400,9071405",698,Iputinga,-8.048658972,-34.94001791,5969.548876,IPUTINGA
Simão Borba,Praça,Rua Simao Borba/ Rua Parente Viana/Rua Ernesto Nazareth,70432.0,,Praça Simão Borba,"1896,804067","193,1336635",850,Areias,-8.096811109,-34.92477434,1896.804067,AREIAS
Jules Rimet/1º Jardim De Boa Viagem,Praça,Avenida Boa Viagem,29130.0,10266/70,Praça Jules Rimet,"1703,498709","352,6030181",205,Boa Viagem,-8.101686472,-34.8854526,1703.498709,BOA VIAGEM
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"4456,830917","430,5931178",108,Santo Amaro,-8.042215097,-34.88329789,4456.830917,SANTO AMARO
La Corunã / 2ª Jardim De Boa Viagem,Praça,Avenida Boa Viagem,66060.0,14469/82,Praça La Coruna,"7110,311551","537,0944197",205,Boa Viagem,-8.104925343,-34.88705959,7110.311551,BOA VIAGEM
Parque Infantil Walt Disney,Praça,Rua Zeferino Galvao,75043.0,10110/73,Parque Infantil Walt Disney,"1372,87394","151,103309",205,Boa Viagem,-8.107954945,-34.88907809,1372.87394,BOA VIAGEM
Cidade Do Porto,Praça,Avenida Conselheiro Aguiar / Rua Senador Helio Coutinho,79766.0,14665/84,Praça Cidade do Porto,"734,8505691","123,35874",205,Boa Viagem,-8.105831462,-34.88912514,734.8505691,BOA VIAGEM
Cidade Do Porto,Praça,Avenida Conselheiro Aguiar / Rua Jornalista Francisco Almeida,79766.0,14665/84,Praça Cidade do Porto,"606,0991014","94,86623274",205,Boa Viagem,-8.10641352,-34.88937024,606.0991014,BOA VIAGEM
Cidade Do Porto,Praça,Avenida Cons Aguiar / Rua Sen Helio Coutinho / Avenida Eng Domingos Ferreira / Rua Jorn Francisco Almeida,79766.0,14665/84,Praça Cidade do Porto,"2255,338994","199,061774",205,Boa Viagem,-8.106038844,-34.88944621,2255.338994,BOA VIAGEM
Visconde De Mauá,Praça,Rua Barao Da Vitória,66745.0,,Praça Visconde de Mauá,"1337,577999","157,947137",27,Santo Antonio,-8.066949294,-34.88301092,1337.577999,SANTO ANTONIO
Visconde De Mauá,Praça,Rua Regueira Costa/ Rua Gal Abreu E Lima,66745.0,,Praça Visconde de Mauá,"549,5504151","105,9155867",183,Rosarinho,-8.032290771,-34.89841292,549.5504151,ROSARINHO
Artur Oscar / Arsenal De Marinha,Praça,Rua Da Guia / Rua Do Observatório,65870.0,,Praça Arsenal da Marinha,"2900,795794","209,5647739",19,Recife,-8.061041053,-34.87128455,2900.795794,RECIFE
Treze De Maio,Parque,Rua Da Saudade/ Rua Joao Lima/Rua Do Hospicio,67024.0,,Parque Treze de Maio,"70434,49974","1060,155433",108,Santo Amaro,-8.056972105,-34.8815344,70434.49974,SANTO AMARO
Da Convenção,Praça,Avenida Beberibe,66265.0,00237/33,Praça da Convenção,"1990,030653","245,5621183",370,Beberibe,-8.002903481,-34.89772051,1990.030653,BEBERIBE
Da Convenção,Praça,Rua Praca Da Convencao,66265.0,00237/33,Praça da Convenção,"328,6442029","93,0640377",370,Beberibe,-8.002374716,-34.89726771,328.6442029,BEBERIBE
Do Berardo,Praça,Rua Joao Crescencio/Ricardo Salazar/Adolfo Criacao Antonio De S,122076.0,,Praça do Berardo,"559,8748705","83,88363428",647,Madalena,-8.05663446,-34.91250896,559.8748705,MADALENA
Beatriz Pereira Carneiro,Praça,Rua Dona Sinha Menezes/ R Dona Leonor Porto,66095.0,00274/41,Praça Beatriz Pereira Carneiro,"415,2766616","77,37297459",108,Santo Amaro,-8.040415151,-34.87065066,415.2766616,SANTO AMARO
Prof. Agamenon Magalhães,Praça,Avenida Norte Miguel Arraes De Alencar/ Rua Joaquim Rabelo,65951.0,13.894/79,Praça Professor Agamenon Magalhães,"572,2265889","91,56246707",108,Santo Amaro,-8.043876748,-34.88213478,572.2265889,SANTO AMARO
Ministro Joao Gonçalves De Souza/ Gaspar Perez,Praça,Rua Borges Da Fonseca/Rua General Vargas,89451.0,13739/79,Praça Ministro João Gonçalves de Souza,"4086,301839","314,9711285",698,Iputinga,-8.048164548,-34.94373587,4086.301839,IPUTINGA
Forte Do Arraial Novo Do Bom Jesus,Parque,Rua Antonio Valdevino Costa/Est Do A Novo Do B Jesus/R Maravilha/ R Dezesseis De Outubro,55611.0,08822/62,Parque do Forte do Arraial Novo do Bom Jesus,"16762,7938","535,48799",701,Torroes,-8.05849178,-34.93190824,16762.7938,TORROES
Forte Do Arraial Novo Do Bom Jesus,Parque,Rua Profa Laura Ferreira Da Costa/Est Do Forte Do Arraial N Do Bom Jesus/R Antonio Valdevino Costa,55611.0,08822/62,Parque do Forte do Arraial Novo do Bom Jesus,"25119,09718","829,7871632",680,Cordeiro,-8.056643274,-34.93093265,25119.09718,CORDEIRO
Eça De Queiroz,Praça,Rua Januario Barbosa/Avenida Visconde De Albuquerque/R Des Luiz Salazar / Rua Pessoa De Melo,66400.0,07413/61,Praça Eça de Queiroz,"2040,910809","196,034964",647,Madalena,-8.050718298,-34.90697695,2040.910809,MADALENA
Solange Pinto Melo,Praça,Rua Real Da Torre/ Rua Jose Osorio,66966.0,10725/76,Praça Solange Pinto Melo,"6358,531078","511,4746673",647,Madalena,-8.052486506,-34.90866922,6358.531078,MADALENA
Solange Pinto Melo,Praça,Rua Jose Osorio/ Rua Real Da Torre,66966.0,10725/76,Praça Solange Pinto Melo,"1227,116597","260,6036692",647,Madalena,-8.054042493,-34.90886132,1227.116597,MADALENA
Tobias Vitorino,Praça,Rua Barao De Tracunhaem/R Dr Paulo Ramos/ R Luiz Clericuzzi,63045.0,1607195,Praça Tobias Vitorino da Silva,"741,9249354","96,6305734",353,Cajueiro,-8.012621221,-34.88648683,741.9249354,CAJUEIRO
Da Redenção,Praça,Rua Antonio Borges Uchoa/ Praca Da Redencao,88269.0,,Praça da Redenção,"472,8294025","100,5396734",710,Engenho Do Meio,-8.055797033,-34.9457789,472.8294025,ENGENHO DO MEIO
