nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Jonathan Marques Da Cunha,Parque,Avenida Mauricio De Nassau,123935.0,17746/2011,Parque Jonathan Marques da Cunha,"118767,2525","1788,122443",680,Cordeiro,-8.040234263,-34.92601552,118767.2525,CORDEIRO
Doutor Fernando Figueira,Praça,Rua Marques Amorim / Rua Jose De Alencar/ Rua Estado De Israel,23345.0,116903/03,Praça Dr Fernando Figueira,"6530,251296","314,8853153",78,Ilha Do Leite,-8.065514974,-34.89326168,6530.251296,ILHA DO LEITE
De Apipucos,Parque,Rua Apipucos,123323.0,25189/2010,Parque de Apipucos,"11755,15463","437,021664",485,Monteiro,-8.021990604,-34.93320107,11755.15463,MONTEIRO
Provisória  Mauricio De Nassau E Duarte Coelho,Praça,Cais De Santa Rita,119660.0,,Praça Maurício de Nassau e Duarte Coelho,"1159,353523","532,8879247",35,Sao Jose,-8.071509944,-34.87621436,1159.353523,SAO JOSE
Da Tamarineira,Parque,Avenida Conselheiro Rosa E Silva / Rua Cônego Barata,125431.0,17802/2012,Parque da Tamarineira,"56496,35901","1120,890803",191,Tamarineira,-8.032919802,-34.90181629,56496.35901,TAMARINEIRA
João Francisco Lisboa,Praça,Rua  Joao Francisco Lisboa / Rua  Inacio De Barros Barreto,124257.0,,Praça João Francisco Lisboa,"3904,960335","288,9292975",736,Varzea,-8.053074889,-34.95955794,3904.960335,VARZEA
Do Terminal,Praça,Rua Dr Gil Francisco Da Rocha/Rua Capitão Amaro Cerqueira/ Rua Sargento Afonso Rodrigues,122564.0,,Praça do Terminal,"208,9634088","51,24430243",850,Areias,-8.094489339,-34.92404121,208.9634088,AREIAS
Refugo,Praça,Rua Izabel De Goes/ Rua Antonio Vidal/ Avenida Recife,122459.0,,Praça Izabel de Goes,"6974,87038","364,6630069",850,Areias,-8.090526773,-34.92996294,6974.87038,AREIAS
Zeppelin,Praça,Rua Lázaro Fontes/ Trv Lázaro Fontes/Avenida Dr. José Rufino,122556.0,,Praça Zeppelin,"889,2605157","121,7094448",825,Jiquia,-8.083288224,-34.92522742,889.2605157,JIQUIA
Do Tourão,Praça,Avenida Tapajós/Rua Ernesto Nazareth,122572.0,,Praça do Tourão,"1339,494491","176,9984338",850,Areias,-8.092859902,-34.92536535,1339.494491,AREIAS
Infantil John F. Kennedy,Parque,Rua Itamonte/Rua Andira,122580.0,,Praça Infantil John F. Kennedy,"630,25272","100,757864",752,Curado,-8.081735785,-34.95581679,630.25272,CURADO
Professor Paulo Silveira Do Nascimento,Praça,Rua Daniel Antônio Rodrigues,122599.0,,Praça Professor Paulo Silveira do Nascimento,"708,3548314","132,9996243",779,Afogados,-8.083186297,-34.92185723,708.3548314,AFOGADOS
João Stanislau,Praça,Rua Rio Solimões/Rua Novo Horizonte/Rua Helio Almeida,122602.0,,Praça João Stanislau,"976,5912136","149,5358817",850,Areias,-8.097661118,-34.93837157,976.5912136,AREIAS
Queira Deus,Praça,Rua Queira Deus,122890.0,,Praça Queira Deus,"136,6842457","44,57388915",892,Tejipio,-8.092678047,-34.96173746,136.6842457,TEJIPIO
Dom Helder,Praça,Rua Quatro De Setembro/Rua Curua/Rua Padre José,122629.0,,Praça Dom Helder,"315,4097477","72,63263622",752,Curado,-8.081500114,-34.95375576,315.4097477,CURADO
Padre Romano Zuferey,Praça,Rua Maria Do Carmo Catunda/Rua Dr Devaldo Borges,122637.0,,Praça Padre Romano Zuferey,"1083,915355","141,9925223",868,Jardim Sao Paulo,-8.078357109,-34.93973457,1083.915355,JARDIM SAO PAULO
Maria Madalena Bispo,Praça,Estrada Do Curado/1Tr Sidrolandia,122645.0,,Praça Maria Madalena Bispo,"79,15210465","50,55611894",752,Curado,-8.079585171,-34.9521782,79.15210465,CURADO
Zeppelin,Praça,Rua Des Lopes Gama/  Rua Bonifácio De Andrade,122556.0,,Praça Zeppelin,"518,0819457","102,3859067",817,San Martin,-8.07290586,-34.92792277,518.0819457,SAN MARTIN
,Praça,Rua Itabapoana / Rua Caetité/ Rua Braço Do Norte,,,,"779,3793","140,4426771",43,Ilha Joana Bezerra,-8.070007656,-34.90027463,779.3793,ILHA JOANA BEZERRA
Zumbi Dos Palmares,Praca,Avenida Jose Americo De Almeida,68268.0,,Praça Zumbi dos Palmares,"707,2195171","94,27327441",582,Macaxeira,-8.01054197,-34.9308843,707.2195171,MACAXEIRA
Do Jordao / Da Rua Muniz Ferreira,Praça,Rua Jose Martorano / Rua Dr Andrade Lyra / Rua Dr Alvaro Ferraz /Rua Lima Campos,76422.0,,Praça do Jordão,"1660,198027","158,8434846",221,Jordao,-8.130438342,-34.93801131,1660.198027,JORDAO
De Santana,Parque,Rua Jorge Gomes De Sá / Rua Dr Abel Ventura,123064.0,,Parque de Santana,"36299,97329","963,2480931",450,Santana,-8.042019233,-34.91782559,36299.97329,SANTANA
,Praca,Rua Maria  Adelaide Castelo Brancorua Joao Cordeiro De Souza,118800.0,,Rua Maria Adelaide Castelo Branco,"1096,328153","138,5426674",884,Cohab,-8.124246154,-34.95112973,1096.328153,COHAB
,Praca,Rua Dr Rinaldo Victor Fernandes/ Rua Jose Augusto De Barros,119458.0,,Praça da Rua José Augusto de Barros,"1719,914165","174,4910589",825,Jiquia,-8.086837182,-34.92314045,1719.914165,JIQUIA
,Praca,Rua Pinheiro Machado/ Rua Professor Pacifico Pereira,118834.0,,Praça da Rua Pinheiro Machado,"1144,303287","135,3521939",884,Cohab,-8.134214402,-34.95134622,1144.303287,COHAB
,Praca,Rua Professor Avertano Rocha/ Rua Des Capistrano De M E Silva,123331.0,,Praça da Rua Professor Avertano Rocha,"1069,911478","150,6534318",701,Torroes,-8.066851556,-34.93340057,1069.911478,TORROES
,Praca,Rua Augusto Bamberg De Melo,119490.0,,PRC   RUA AUGUSTO BAMBERG DE MELO,"1409,898113","177,9466455",892,Tejipio,-8.089731349,-34.94989529,1409.898113,TEJIPIO
,Praca,Rua Principe Da Beira,119440.0,,Praça da Rua Príncipe da Beira,"4667,949812","270,1816725",825,Jiquia,-8.090665807,-34.92269581,4667.949812,JIQUIA
,Praca,Rua Tristao Da Cunha/Rua Visconde De Santo Albino,119431.0,,Praça da Rua Tristão da Cunha,"814,7004676","144,771617",884,Cohab,-8.134950419,-34.95371043,814.7004676,COHAB
,Area Verde,Rua  Antonio Almeida/ Rua Celio Tavares,,,,"1383,426958","159,2592664",264,Imbiribeira,-8.091539168,-34.91636613,1383.426958,IMBIRIBEIRA
